node_id,bus,load_element_count,complete_official_files,dss_vs_parquet_max_abs_error_kw,dss_vs_parquet_mean_abs_error_kw,dss_vs_parquet_corr,legacy_vs_dss_max_abs_error_kw,legacy_vs_parquet_max_abs_error_kw,legacy_vs_dss_corr,legacy_vs_parquet_corr
p10rlv24936,p10rlv24936,2,True,8.881784197001252e-16,3.2012381076770174e-17,1.0,12.623884742509373,12.623884742509373,0.20179271040584618,0.20179271040584618
p10rlv25536,p10rlv25536,2,True,4.440892098500626e-16,1.0185757615335965e-17,1.0,11.331029759868393,11.331029759868393,0.30697375779129493,0.30697375779129493
p10rlv26432,p10rlv26432,2,True,8.881784197001252e-16,1.295418617631265e-17,1.0,12.796194785992622,12.796194785992622,0.2203242551904418,0.2203242551904418
p10rlv26433,p10rlv26433,2,True,4.440892098500626e-16,9.13700241798743e-18,1.0,8.340639354642011,8.340639354642011,-0.02416090549672235,-0.024160905496722365
p10rlv27290,p10rlv27290,2,True,8.881784197001252e-16,4.4515063882623106e-17,1.0,9.714218810992376,9.714218810992376,0.2952117085305391,0.29521170853053913
p10rlv27605,p10rlv27605,2,True,1.1102230246251565e-16,1.8725508206434575e-18,0.9999999999999999,1.3457237259720027,1.3457237259720027,0.0075742856186508,0.0075742856186508
p10rlv27606,p10rlv27606,2,True,8.881784197001252e-16,3.199495463089278e-17,0.9999999999999998,15.38967097776465,15.38967097776465,0.047056290379407915,0.047056290379407915
p10rlv2790,p10rlv2790,2,True,8.881784197001252e-16,3.0317263159605626e-17,0.9999999999999998,9.145607686572788,9.145607686572788,0.3711338291985654,0.3711338291985654
p10rlv28435,p10rlv28435,2,True,4.440892098500626e-16,1.1648786957860697e-17,1.0,4.549529893894568,4.549529893894568,-0.10185842208848002,-0.10185842208848
p10rlv28744,p10rlv28744,2,True,4.440892098500626e-16,9.346911879692385e-20,1.0,13.27889701735298,13.27889701735298,0.381241541187844,0.381241541187844
p10rlv28745,p10rlv28745,2,True,0.3501667908130126,0.022563555748695726,0.9937816985126162,2.8696638283127243,3.012179309308871,0.39993881038287854,0.38181498784059764
p10rlv29054,p10rlv29054,2,True,8.881784197001252e-16,3.4092465025589854e-18,1.0,13.896777455038505,13.896777455038505,0.25850861333492736,0.25850861333492736
p10rlv29354,p10rlv29354,2,True,8.881784197001252e-16,2.7894987182648053e-17,0.9999999999999999,14.257673716029016,14.257673716029016,0.2646131625858255,0.2646131625858255
p10rlv29657,p10rlv29657,2,True,8.881784197001252e-16,2.8921563267061726e-17,0.9999999999999998,10.88970879456444,10.88970879456444,0.23531746485765814,0.23531746485765814
p10rlv29902,p10rlv29902,2,True,8.881784197001252e-16,2.53043875807384e-17,1.0,10.386132690037645,10.386132690037645,0.4347420787105331,0.4347420787105331
p10rlv29910,p10rlv29910,2,True,1.7763568394002505e-15,3.842087733706367e-16,1.0,10.591125291533853,10.591125291533851,0.48074490365965694,0.4807449036596567
p10rlv29912,p10rlv29912,2,True,2.220446049250313e-16,7.967846321849636e-18,1.0,2.419844194853383,2.419844194853383,0.8416182309103225,0.8416182309103225
p10rlv29913,p10rlv29913,2,True,8.881784197001252e-16,3.199495463089278e-17,0.9999999999999998,7.5257266844623665,7.5257266844623665,0.2624647468459288,0.2624647468459288
